,zipcode,city,county,population,medianprice,activelistingcount,avgprice,totalrentals,ratio,latitudes,longitudes
63,11375,Forest Hills,Queens County,73034,399000.0,500,4127.23,408,8.06,40.7229,-73.8473
64,91744,La Puente,Los Angeles County,85421,652000.0,19,2283.42,26,23.79,34.0289,-117.9373
65,60628,Chicago,Cook County,64254,176250.0,159,1279.79,135,11.48,41.6934,-87.6243
66,60651,Chicago,Cook County,63492,277449.5,56,1394.89,166,16.58,41.9025,-87.7393
67,10452,Bronx,Bronx County,75452,214000.0,24,2088.3,27,8.54,40.8376,-73.9216
68,91950,National City,San Diego County,62859,640000.0,14,2483.08,67,21.48,32.6749,-117.0897
69,92630,Lake Forest,Orange County,59403,937450.0,19,3939.71,122,19.83,33.6437,-117.6868
70,33511,Brandon,Hillsborough County,58833,384500.0,28,2116.6,600,15.14,27.9056,-82.2881
71,60632,Chicago,Cook County,89857,264700.0,32,1587.87,59,13.89,41.8093,-87.7052
72,78577,Pharr,Hidalgo County,78103,235000.0,60,1477.23,118,13.26,26.1771,-98.187
73,42101,Bowling Green,Warren County,61768,239900.0,87,1080.35,91,18.5,37.0174,-86.4518
74,94122,San Francisco,San Francisco County,62128,1428999.5,10,3904.86,161,30.5,37.7593,-122.4836
75,93306,Bakersfield,Kern County,72280,377434.5,51,1464.68,53,21.47,35.3867,-118.9391
76,76179,Fort Worth,Tarrant County,65496,343550.0,57,1753.77,393,16.32,32.9074,-97.4257
77,76137,Fort Worth,Tarrant County,60385,326500.0,25,1855.04,561,14.67,32.8664,-97.2891
78,30043,Lawrenceville,Gwinnett County,91378,390000.0,176,2257.98,274,14.39,34.0031,-84.0126
79,60634,Chicago,Cook County,75082,339000.0,120,1992.41,121,14.18,41.9463,-87.8061
80,77433,Cypress,Harris County,90657,469990.0,146,2066.35,457,18.95,29.8836,-95.7025
81,21122,Pasadena,Anne Arundel County,61051,399900.0,74,2053.22,44,16.23,39.1206,-76.495
82,11218,Brooklyn,Kings County,72413,539000.0,110,3471.17,313,12.94,40.6424,-73.9758
83,87114,Albuquerque,Bernalillo County,68789,350000.0,37,1812.28,103,16.09,35.1868,-106.6652
84,28314,Fayetteville,Cumberland County,58827,165000.0,52,1222.21,294,11.25,35.0583,-79.008
85,92801,Anaheim,Orange County,66594,745000.0,12,2328.24,94,26.67,33.8428,-117.9546
86,77449,Katy,Harris County,128294,279999.5,81,1673.83,779,13.94,29.8323,-95.736
87,27587,Wake Forest,Wake County,68491,532000.0,69,1867.11,201,23.74,35.9815,-78.5392
88,11691,Far Rockaway,Queens County,68543,608500.0,33,2229.78,82,22.74,40.6006,-73.758
